Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00053062,-0.00014671,-0.024203,0,0,0,0.61161,0.0045478,-5.8546E-07,5.8091E-06,0.0078405,1.6098E-06,0.012139,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/base_link.STL,,link_body-1,Global_coordinates,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_c1_lf,0.026,-5.4857E-07,-0.023899,0,0,0,0.020733,7.1297E-06,4.048E-11,4.2078E-11,7.0574E-06,-7.4454E-15,7.0574E-06,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_c1_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_c1_lf.STL,,leg_link1-4,C_lf_1,lf_ax_1,j_c1_lf,revolute,0.17005,0.11005,0,0,0,0.7854,base_link,0,0,1,2.8,5.6549,-1.5708,1.5708,,,,,,,,
link_thigh_lf,0.041,-4.7333E-08,-0.024854,0,0,0,0.095338,1.5823E-05,-7.1837E-09,2.4429E-07,9.7493E-05,1.7728E-11,9.2466E-05,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_thigh_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_thigh_lf.STL,,leg_link2-6,C_lf_2,lf_ax_2,j_thigh_lf,revolute,0.052,0.0239,-0.0239,-1.5708,0,0,link_c1_lf,0,0,-1,2.8,5.6549,-1.9199,1.9199,,,,,,,,
link_tibia_lf,0.058213,4.8413E-07,-0.02399,0,0,0,0.027469,1.3791E-05,-1.8639E-09,2.7079E-09,8.6758E-05,1.5216E-13,7.8702E-05,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_tibia_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_tibia_lf.STL,,leg_link3-6,C_lf_3,lf_ax_3,j_tibia_lf,revolute,0.082,0,0,0,0,0,link_thigh_lf,0,0,-1,2.8,5.6549,-2.2689,2.2689,,,,,,,,
link_c1_rf,0.0259999991636716,-5.48568285324569E-07,-0.0238994498902422,0,0,0,0.0207333939617732,7.12966880670212E-06,4.04797875409359E-11,4.2078214365996E-11,7.05736504437159E-06,-7.44539482746889E-15,7.05736451070848E-06,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_c1_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_c1_rf.STL,,leg_link1-5,C_rf_1,rf_ax_1,j_c1_rf,revolute,0.17005,-0.11005,0,0,0,-0.7854,base_link,0,0,1,2.8,5.6549,-1.5708,1.5708,,,,,,,,
link_thigh_rf,0.0409997696348333,-4.3056425345217E-08,-0.0231455246052306,0,0,0,0.0953381260778559,1.58226170665815E-05,7.18370529304474E-09,2.44292690517656E-07,9.74932251034422E-05,-1.77281106948335E-11,9.24662892922228E-05,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_thigh_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_thigh_rf.STL,,leg_link2-3,C_rf_2,rf_ax_2,j_thigh_rf,revolute,0.052,0.0239,-0.0239,-1.5708,0,0,link_c1_rf,0,0,-1,2.8,5.6549,-1.9199,1.9199,,,,,,,,
link_tibia_rf,0.0582130928710537,-4.84132053089198E-07,-0.024009755089485,0,0,0,0.0274685501932794,1.37907568518751E-05,1.86386884762247E-09,-2.70792447943625E-09,8.67578889959421E-05,1.52160813279096E-13,7.87024641434508E-05,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_tibia_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_tibia_rf.STL,,leg_link3-4,C_rf_3,rf_ax_3,j_tibia_rf,revolute,0.082,0,-0.0002,0,0,0,link_thigh_rf,0,0,-1,2.8,5.6549,-2.2689,2.2689,,,,,,,,
link_c1_lm,0.0259999991636717,-5.48568285352324E-07,-0.0238994498902422,0,0,0,0.0207333939617732,7.12966880670212E-06,4.04797875473618E-11,4.20782143633671E-11,7.05736504437159E-06,-7.44539705232163E-15,7.0573645107085E-06,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_c1_lm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_c1_lm.STL,,leg_link1-3,C_lm_1,lm_ax_1,j_c1_lm,revolute,0,0.1325,0,0,0,1.5708,base_link,0,0,1,2.8,5.6549,-1.5708,1.5708,,,,,,,,
link_thigh_lm,0.0410002223045077,-4.73332562624107E-08,-0.0248544734829103,0,0,0,0.095338126082866,1.58226170677638E-05,-7.18370555418024E-09,2.44292690526641E-07,9.74932251095805E-05,1.77281110395446E-11,9.24662892972621E-05,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_thigh_lm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_thigh_lm.STL,,leg_link2-5,C_lm_2,lm_ax_2,j_thigh_lm,revolute,0.052,0.0239,-0.0239,-1.5708,0,0,link_c1_lm,0,0,-1,2.8,5.6549,-1.9199,1.9199,,,,,,,,
link_tibia_lm,0.0582130929481516,4.84132050920794E-07,-0.0239902443725242,0,0,0,0.0274685503185618,1.3790756868961E-05,-1.86386884665518E-09,2.70791984156504E-09,8.67578890897643E-05,1.52161124450007E-13,7.87024642322845E-05,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_tibia_lm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hexapod_urdf_v1/meshes/link_tibia_lm.STL,,leg_link3-5,C_lm_3,lm_ax_3,j_tibia_lm,revolute,0.082,0,0,0,0,0,link_thigh_lm,0,0,-1,2.8,5.6549,-2.2689,2.2689,,,,,,,,
